Class,crop_planet_1,crop_planet_2,crop_planet_3,crop_planet_4,crop_planet_5,crop_planet_6,crop_planet_7,crop_planet_8
"2","125.00000","219.00000","199.00000","280.00000","228.00000","230.00000","276.00000","1130.00000"
"2","3.00000","116.00000","71.00000","149.00000","122.00000","106.00000","179.00000","927.00000"
"2","2.00000","120.00000","90.00000","143.00000","121.00000","102.00000","145.00000","921.00000"
"2","1.00000","112.00000","53.00000","118.00000","90.00000","68.00000","142.00000","985.00000"
"2","4.00000","115.00000","69.00000","117.00000","102.00000","106.00000","161.00000","888.00000"
"2","4.00000","117.00000","87.00000","128.00000","120.00000","120.00000","216.00000","834.00000"
"2","2.00000","118.00000","71.00000","121.00000","152.00000","116.00000","156.00000","909.00000"
"2","1.00000","114.00000","63.00000","115.00000","92.00000","92.00000","149.00000","845.00000"
"2","1.00000","112.00000","47.00000","98.00000","85.00000","113.00000","35.00000","738.00000"
"2","1.00000","114.00000","55.00000","120.00000","65.00000","88.00000","158.00000","910.00000"
"2","3.00000","110.00000","75.00000","105.00000","98.00000","79.00000","140.00000","833.00000"
"2","3.00000","111.00000","50.00000","108.00000","76.00000","70.00000","145.00000","872.00000"
"2","1.00000","114.00000","62.00000","123.00000","74.00000","97.00000","167.00000","907.00000"
"2","1.00000","113.00000","54.00000","96.00000","121.00000","84.00000","152.00000","913.00000"
"2","1.00000","113.00000","51.00000","119.00000","63.00000","107.00000","149.00000","940.00000"
"2","3.00000","114.00000","76.00000","103.00000","75.00000","95.00000","140.00000","929.00000"
"2","7.00000","112.00000","47.00000","98.00000","61.00000","90.00000","142.00000","856.00000"
"2","3.00000","111.00000","46.00000","104.00000","84.00000","93.00000","140.00000","836.00000"
"2","8.00000","119.00000","81.00000","142.00000","73.00000","118.00000","183.00000","923.00000"
"2","1.00000","119.00000","88.00000","157.00000","141.00000","116.00000","184.00000","990.00000"
"2","7.00000","123.00000","97.00000","139.00000","153.00000","127.00000","175.00000","955.00000"
"2","196.00000","304.00000","269.00000","311.00000","336.00000","317.00000","322.00000","958.00000"
"3","8.00000","142.00000","241.00000","317.00000","270.00000","196.00000","537.00000","1844.00000"
"3","6.00000","125.00000","160.00000","288.00000","184.00000","186.00000","448.00000","1912.00000"
"3","11.00000","125.00000","175.00000","259.00000","223.00000","200.00000","457.00000","2149.00000"
"3","9.00000","138.00000","239.00000","334.00000","250.00000","226.00000","600.00000","2435.00000"
"3","9.00000","149.00000","237.00000","293.00000","255.00000","215.00000","494.00000","2157.00000"
"3","5.00000","126.00000","198.00000","224.00000","157.00000","179.00000","397.00000","1906.00000"
"3","6.00000","146.00000","160.00000","216.00000","185.00000","163.00000","383.00000","2020.00000"
"3","84.00000","218.00000","262.00000","357.00000","300.00000","231.00000","541.00000","2087.00000"
"3","68.00000","222.00000","309.00000","374.00000","323.00000","286.00000","653.00000","2273.00000"
"3","33.00000","194.00000","263.00000","344.00000","293.00000","227.00000","554.00000","2080.00000"
"3","9.00000","123.00000","209.00000","298.00000","257.00000","204.00000","549.00000","2261.00000"
"3","8.00000","168.00000","266.00000","322.00000","295.00000","243.00000","606.00000","2532.00000"
"3","36.00000","166.00000","319.00000","368.00000","307.00000","285.00000","639.00000","2447.00000"
"3","45.00000","166.00000","234.00000","286.00000","267.00000","281.00000","636.00000","2322.00000"
"3","72.00000","166.00000","281.00000","387.00000","298.00000","273.00000","644.00000","2675.00000"
"3","64.00000","217.00000","310.00000","363.00000","341.00000","327.00000","692.00000","2578.00000"
"3","10.00000","140.00000","206.00000","285.00000","287.00000","201.00000","605.00000","2392.00000"
"3","298.00000","582.00000","668.00000","736.00000","701.00000","642.00000","965.00000","2607.00000"
"3","194.00000","274.00000","355.00000","403.00000","404.00000","336.00000","556.00000","2076.00000"
"3","127.00000","229.00000","311.00000","370.00000","343.00000","290.00000","624.00000","2421.00000"
"3","77.00000","236.00000","283.00000","353.00000","312.00000","285.00000","497.00000","2092.00000"
"3","75.00000","194.00000","315.00000","415.00000","319.00000","309.00000","653.00000","2245.00000"
"3","138.00000","227.00000","328.00000","429.00000","314.00000","296.00000","619.00000","2212.00000"
"3","141.00000","277.00000","373.00000","481.00000","439.00000","345.00000","744.00000","2367.00000"
"3","83.00000","263.00000","351.00000","370.00000","371.00000","349.00000","719.00000","2216.00000"
"3","113.00000","250.00000","322.00000","403.00000","380.00000","301.00000","683.00000","2326.00000"
"3","88.00000","243.00000","325.00000","426.00000","382.00000","315.00000","731.00000","2780.00000"
"3","103.00000","247.00000","357.00000","456.00000","391.00000","344.00000","754.00000","2935.00000"
"3","139.00000","252.00000","352.00000","456.00000","375.00000","369.00000","728.00000","2711.00000"
"3","116.00000","244.00000","354.00000","425.00000","345.00000","325.00000","787.00000","2599.00000"
"3","138.00000","285.00000","355.00000","474.00000","428.00000","343.00000","709.00000","2607.00000"
"3","110.00000","289.00000","408.00000","485.00000","413.00000","363.00000","821.00000","2711.00000"
"3","84.00000","237.00000","332.00000","383.00000","405.00000","296.00000","668.00000","2388.00000"
"3","103.00000","224.00000","311.00000","389.00000","323.00000","291.00000","711.00000","2048.00000"
"3","65.00000","224.00000","315.00000","401.00000","356.00000","290.00000","699.00000","2521.00000"
"3","114.00000","260.00000","336.00000","391.00000","364.00000","295.00000","619.00000","2381.00000"
"3","69.00000","228.00000","326.00000","411.00000","309.00000","297.00000","636.00000","2461.00000"
"3","150.00000","276.00000","340.00000","464.00000","369.00000","346.00000","719.00000","2620.00000"
"3","87.00000","255.00000","340.00000","421.00000","369.00000","291.00000","784.00000","2489.00000"
"3","102.00000","238.00000","308.00000","397.00000","324.00000","267.00000","661.00000","2441.00000"
"3","240.00000","423.00000","540.00000","625.00000","542.00000","511.00000","978.00000","2966.00000"
"3","206.00000","330.00000","445.00000","549.00000","485.00000","392.00000","808.00000","2858.00000"
"3","150.00000","312.00000","389.00000","502.00000","457.00000","350.00000","878.00000","2735.00000"
"3","1143.00000","1302.00000","1420.00000","1532.00000","1464.00000","1484.00000","1888.00000","3653.00000"
"3","84.00000","289.00000","384.00000","473.00000","430.00000","343.00000","800.00000","2470.00000"
"3","192.00000","321.00000","418.00000","486.00000","441.00000","372.00000","804.00000","2583.00000"
"3","89.00000","238.00000","353.00000","449.00000","401.00000","325.00000","786.00000","2460.00000"
"3","80.00000","260.00000","351.00000","459.00000","425.00000","330.00000","729.00000","2582.00000"
"4","381.00000","609.00000","721.00000","852.00000","1046.00000","1039.00000","1414.00000","2355.00000"
"4","456.00000","679.00000","801.00000","956.00000","1141.00000","1120.00000","1343.00000","2445.00000"
"4","730.00000","957.00000","1079.00000","1227.00000","1430.00000","1361.00000","1463.00000","2618.00000"
"4","695.00000","1090.00000","1096.00000","1238.00000","1381.00000","1495.00000","1528.00000","2745.00000"
